date,price,open,vol
06/30/2017,"1,244.10","1,245.00",0.45K
06/29/2017,"1,247.60","1,247.60",277.75K
06/28/2017,"1,249.10","1,247.30",195.07K
06/27/2017,"1,246.90","1,245.20",213.42K
06/26/2017,"1,246.40","1,258.10",227.47K
06/23/2017,"1,256.40","1,250.90",162.67K
06/22/2017,"1,249.40","1,246.40",187.39K
06/21/2017,"1,245.80","1,243.90",170.46K
06/20/2017,"1,243.50","1,245.40",185.39K
06/19/2017,"1,246.70","1,255.80",179.65K
06/16/2017,"1,256.50","1,255.60",149.11K
06/15/2017,"1,254.60","1,262.70",255.15K
06/14/2017,"1,275.90","1,268.40",348.34K
06/13/2017,"1,268.60","1,267.70",175.60K
06/12/2017,"1,268.90","1,269.70",173.01K
06/09/2017,"1,271.40","1,283.50",219.21K
06/08/2017,"1,279.50","1,289.50",257.44K
06/07/2017,"1,293.20","1,297.00",218.85K
06/06/2017,"1,297.50","1,282.50",257.79K
06/05/2017,"1,282.70","1,282.60",139.80K
06/02/2017,"1,280.20","1,268.00",272.29K
06/01/2017,"1,270.10","1,271.60",181.20K
05/31/2017,"1,275.40","1,265.70",204.29K
05/30/2017,"1,265.70","1,271.20",286.21K
05/29/2017,"1,265.70","1,271.20",286.21K
05/26/2017,"1,269.70","1,257.20",1.24K
05/25/2017,"1,258.00","1,260.30",0.51K
05/24/2017,"1,254.70","1,253.20",1.08K
05/23/2017,"1,257.10","1,263.30",0.61K
05/22/2017,"1,263.00","1,259.00",0.45K
05/19/2017,"1,255.20","1,248.60",0.33K
05/18/2017,"1,254.50","1,263.00",0.76K
05/17/2017,"1,260.40","1,238.40",1.03K
05/16/2017,"1,238.00","1,232.80",0.08K
05/15/2017,"1,231.60","1,230.00",0.33K
05/12/2017,"1,229.30","1,226.80",1.29K
05/11/2017,"1,225.80","1,220.10",0.32K
05/10/2017,"1,220.50","1,224.10",0.16K
05/09/2017,"1,217.70","1,228.90",0.36K
05/08/2017,"1,228.70","1,224.20",0.28K
05/05/2017,"1,228.50","1,230.40",0.07K
05/04/2017,"1,230.20","1,240.20",0.23K
05/03/2017,"1,250.20","1,254.50",0.11K
05/02/2017,"1,258.70","1,258.50",0.07K
05/01/2017,"1,257.20","1,266.40",0.04K
04/28/2017,"1,270.00","1,267.90",0.04K
04/27/2017,"1,267.60","1,267.60",210.73K
04/26/2017,"1,264.20","1,265.50",241.05K
04/25/2017,"1,267.20","1,277.90",253.77K
04/24/2017,"1,277.50","1,280.00",302.84K
04/21/2017,"1,289.10","1,283.30",229.60K
04/20/2017,"1,283.80","1,282.20",245.62K
04/19/2017,"1,283.40","1,291.70",260.70K
04/18/2017,"1,294.10","1,286.70",280.74K
04/17/2017,"1,291.90","1,292.40",191.67K
04/13/2017,"1,288.50","1,288.30",235.46K
04/12/2017,"1,278.10","1,277.20",251.10K
04/11/2017,"1,274.20","1,256.80",292.14K
04/10/2017,"1,253.90","1,255.60",182.20K
04/07/2017,"1,257.30","1,253.90",375.41K
04/06/2017,"1,253.30","1,257.60",165.26K
04/05/2017,"1,248.50","1,258.20",236.74K
04/04/2017,"1,258.40","1,255.50",158.36K
04/03/2017,"1,254.00","1,251.90",142.20K
03/31/2017,"1,251.20","1,244.60",165.21K
03/30/2017,"1,248.00","1,256.10",217.66K
03/29/2017,"1,255.30","1,253.50",1.57K
03/28/2017,"1,257.20","1,255.30",1.52K
03/27/2017,"1,257.30","1,251.70",0.80K
03/24/2017,"1,250.10","1,247.60",0.85K
03/23/2017,"1,248.60","1,249.00",0.62K
03/22/2017,"1,251.20","1,246.50",0.58K
03/21/2017,"1,248.00","1,235.90",0.42K
03/20/2017,"1,235.60","1,231.60",0.26K
03/17/2017,"1,231.70","1,227.00",0.34K
03/16/2017,"1,228.60","1,220.50",0.77K
03/15/2017,"1,202.30","1,199.50",0.69K
03/14/2017,"1,204.20","1,203.60",0.23K
03/13/2017,"1,204.70","1,207.00",0.55K
03/10/2017,"1,203.00","1,202.00",0.54K
03/09/2017,"1,204.80","1,209.30",0.65K
03/08/2017,"1,211.00","1,219.00",0.17K
03/07/2017,"1,217.70","1,227.10",0.45K
03/06/2017,"1,227.10","1,235.10",0.47K
03/03/2017,"1,228.10","1,236.00",0.26K
03/02/2017,"1,234.40","1,249.40",0.20K
03/01/2017,"1,251.60","1,248.20",0.13K
02/28/2017,"1,255.40","1,254.70",0.10K
02/27/2017,"1,260.40","1,260.40",208.49K
02/24/2017,"1,258.30","1,250.60",220.13K
02/23/2017,"1,251.40","1,238.30",264.97K
02/22/2017,"1,233.30","1,236.90",201.34K
02/21/2017,"1,238.90","1,236.40",259.51K
02/20/2017,"1,238.90","1,236.40",259.51K
02/17/2017,"1,239.10","1,240.80",164.41K
02/16/2017,"1,241.60","1,234.30",203.79K
02/15/2017,"1,233.10","1,228.60",226.71K
02/14/2017,"1,225.40","1,226.10",233.75K
02/13/2017,"1,225.80","1,234.20",176.62K
02/10/2017,"1,235.90","1,229.60",240.05K
02/09/2017,"1,236.80","1,242.70",246.14K
02/08/2017,"1,239.50","1,235.20",221.91K
02/07/2017,"1,236.10","1,236.90",202.31K
02/06/2017,"1,232.10","1,221.90",197.32K
02/03/2017,"1,220.80","1,217.80",217.98K
02/02/2017,"1,219.40","1,211.20",232.06K
02/01/2017,"1,208.30","1,212.20",217.09K
01/31/2017,"1,211.40","1,197.70",246.90K
01/30/2017,"1,196.00","1,194.60",191.77K
01/27/2017,"1,189.80","1,190.20",2.44K
01/26/2017,"1,191.00","1,202.10",1.43K
01/25/2017,"1,199.00","1,209.80",1.47K
01/24/2017,"1,211.70","1,218.40",0.88K
01/23/2017,"1,216.60","1,210.80",0.92K
01/20/2017,"1,206.00","1,204.90",1.03K
01/19/2017,"1,202.70","1,203.60",0.79K
01/18/2017,"1,213.50","1,218.20",0.79K
01/17/2017,"1,214.30","1,200.80",0.70K
01/16/2017,"1,212.90","1,199.40",381.42K
01/13/2017,"1,197.50","1,195.60",0.43K
01/12/2017,"1,201.20","1,193.40",0.33K
01/11/2017,"1,198.00","1,189.10",0.49K
01/10/2017,"1,186.90","1,183.50",0.20K
01/09/2017,"1,186.30","1,174.90",0.21K
01/06/2017,"1,174.80","1,179.70",0.19K
01/05/2017,"1,182.60","1,165.30",0.20K
01/04/2017,"1,166.50","1,158.10",0.24K
01/03/2017,"1,163.20","1,154.00",0.22K
12/30/2016,"1,152.90","1,162.20",0.04K
12/29/2016,"1,160.70","1,145.50",5.83K
12/28/2016,"1,140.90","1,139.30",112.51K
12/27/2016,"1,138.80","1,135.30",108.45K
12/23/2016,"1,133.60","1,130.00",74.80K
12/22/2016,"1,130.70","1,133.20",120.32K
12/21/2016,"1,133.20","1,134.00",114.06K
12/20/2016,"1,133.60","1,139.80",146.05K
12/19/2016,"1,142.70","1,136.10",119.18K
12/16/2016,"1,137.40","1,130.50",178.64K
12/15/2016,"1,129.80","1,143.80",281.61K
12/14/2016,"1,163.70","1,159.80",214.40K
12/13/2016,"1,159.00","1,164.50",142.85K
12/12/2016,"1,165.80","1,161.40",166.80K
12/09/2016,"1,161.90","1,172.50",162.82K
12/08/2016,"1,172.40","1,176.10",147.75K
12/07/2016,"1,177.50","1,171.40",145.81K
12/06/2016,"1,170.10","1,172.80",137.61K
12/05/2016,"1,176.50","1,182.60",221.46K
12/02/2016,"1,177.80","1,174.30",175.97K
12/01/2016,"1,169.40","1,175.10",230.28K
11/30/2016,"1,173.90","1,190.70",249.32K
11/29/2016,"1,190.80","1,196.60",216.19K
11/28/2016,"1,192.30","1,185.60",3.13K
11/25/2016,"1,179.60","1,189.60",1.61K
11/24/2016,"1,178.40","1,189.40",300.28K
11/23/2016,"1,190.80","1,213.80",1.49K
11/22/2016,"1,212.70","1,215.50",0.45K
11/21/2016,"1,211.30","1,209.30",0.69K
11/18/2016,"1,210.10","1,214.50",0.37K
11/17/2016,"1,218.30","1,227.50",0.62K
11/16/2016,"1,225.30","1,230.90",0.23K
11/15/2016,"1,225.90","1,223.30",0.31K
11/14/2016,"1,223.00","1,229.80",0.75K
11/11/2016,"1,225.60","1,259.80",0.56K
11/10/2016,"1,267.90","1,280.00",0.64K
11/09/2016,"1,275.40","1,272.40",0.77K
11/08/2016,"1,276.40","1,284.80",0.29K
11/07/2016,"1,281.30","1,293.00",0.26K
11/04/2016,"1,306.50","1,299.90",0.29K
11/03/2016,"1,305.30","1,300.80",0.10K
11/02/2016,"1,310.20","1,295.70",0.24K
11/01/2016,"1,290.00","1,279.80",0.09K
10/31/2016,"1,275.10","1,277.90",0.02K
10/28/2016,"1,278.60","1,278.60",232.89K
10/27/2016,"1,269.50","1,267.20",135.14K
10/26/2016,"1,266.60","1,274.00",142.11K
10/25/2016,"1,273.60","1,265.20",140.03K
10/24/2016,"1,263.70","1,266.90",156.82K
10/21/2016,"1,267.70","1,266.50",101.39K
10/20/2016,"1,267.50","1,270.60",137.04K
10/19/2016,"1,269.90","1,263.90",143.61K
10/18/2016,"1,262.90","1,256.00",148.17K
10/17/2016,"1,256.60","1,252.90",111.89K
10/14/2016,"1,255.50","1,259.50",179.88K
10/13/2016,"1,257.60","1,257.10",150.10K
10/12/2016,"1,253.80","1,254.50",141.58K
10/11/2016,"1,255.90","1,261.70",141.05K
10/10/2016,"1,260.40","1,258.50",140.76K
10/07/2016,"1,251.90","1,256.80",274.15K
10/06/2016,"1,253.00","1,269.70",190.19K
10/05/2016,"1,268.60","1,270.50",213.86K
10/04/2016,"1,269.70","1,315.00",351.26K
10/03/2016,"1,312.70","1,321.00",130.14K
09/30/2016,"1,317.10","1,323.60",214.12K
09/29/2016,"1,326.00","1,325.00",157.34K
09/28/2016,"1,321.40","1,327.90",0.63K
09/27/2016,"1,328.00","1,339.30",0.26K
09/26/2016,"1,341.70","1,340.50",0.19K
09/23/2016,"1,339.30","1,338.30",0.85K
09/22/2016,"1,342.50","1,335.70",0.39K
09/21/2016,"1,329.10","1,318.00",0.79K
09/20/2016,"1,315.80","1,314.20",0.48K
09/19/2016,"1,315.50","1,310.40",0.15K
09/16/2016,"1,307.80","1,317.60",0.29K
09/15/2016,"1,315.70","1,323.30",0.19K
09/14/2016,"1,323.50","1,320.30",0.10K
09/13/2016,"1,321.10","1,329.70",0.23K
09/12/2016,"1,323.10","1,327.00",0.08K
09/09/2016,"1,332.10","1,340.00",0.13K
09/08/2016,"1,339.10","1,347.50",0.11K
09/07/2016,"1,346.70","1,351.40",0.09K
09/06/2016,"1,351.80","1,327.30",0.07K
09/05/2016,"1,354.00","1,328.10",281.26K
09/02/2016,"1,324.90","1,313.20",0.07K
09/01/2016,"1,315.30","1,308.50",0.03K
08/31/2016,"1,309.60","1,315.50",0.02K
08/30/2016,"1,314.70","1,314.70",159.33K
08/29/2016,"1,323.70","1,320.60",3.07K
08/26/2016,"1,322.60","1,321.30",10.93K
08/25/2016,"1,321.20","1,323.70",13.72K
08/24/2016,"1,326.10","1,337.60",18.75K
08/23/2016,"1,342.10","1,339.60",7.96K
08/22/2016,"1,339.40","1,341.00",3.89K
08/19/2016,"1,342.20","1,353.30",3.54K
08/18/2016,"1,353.20","1,348.30",5.00K
08/17/2016,"1,344.80","1,346.90",6.07K
08/16/2016,"1,352.70","1,340.70",7.63K
08/15/2016,"1,343.20","1,339.10",4.12K
08/12/2016,"1,338.90","1,340.40",9.39K
08/11/2016,"1,345.50","1,347.90",4.95K
08/10/2016,"1,347.40","1,342.30",5.60K
08/09/2016,"1,342.10","1,335.90",6.44K
08/08/2016,"1,336.40","1,336.30",7.96K
08/05/2016,"1,339.50","1,362.00",8.56K
08/04/2016,"1,362.70","1,360.30",7.75K
08/03/2016,"1,360.20","1,366.60",6.05K
08/02/2016,"1,368.20","1,355.20",8.06K
08/01/2016,"1,355.20","1,352.70",4.30K
07/29/2016,"1,353.10","1,338.00",10.53K
07/28/2016,"1,337.00","1,343.50",14.04K
07/27/2016,"1,328.60","1,321.00",2.32K
07/26/2016,"1,322.50","1,317.00",1.03K
07/25/2016,"1,321.30","1,323.80",1.71K
07/22/2016,"1,325.30","1,332.80",0.96K
07/21/2016,"1,332.80","1,316.00",1.78K
07/20/2016,"1,321.20","1,334.40",0.57K
07/19/2016,"1,334.20","1,329.50",0.32K
07/18/2016,"1,331.10","1,333.30",0.47K
07/15/2016,"1,329.30","1,338.20",0.47K
07/14/2016,"1,334.10","1,347.80",0.40K
07/13/2016,"1,345.60","1,337.20",0.23K
07/12/2016,"1,337.30","1,356.70",0.34K
07/11/2016,"1,358.90","1,376.20",2.01K
07/08/2016,"1,360.50","1,362.30",1.85K
07/07/2016,"1,364.10","1,366.80",1.67K
07/06/2016,"1,369.00","1,363.30",1.45K
07/05/2016,"1,360.60","1,347.00",1.62K
07/04/2016,"1,358.70","1,345.00",353.81K
07/01/2016,"1,340.40","1,334.10",0.41K
06/30/2016,"1,322.00","1,319.40",0.08K
06/29/2016,"1,328.60","1,328.60",176.82K
06/28/2016,"1,317.90","1,328.30",195.98K
06/27/2016,"1,324.70","1,322.30",258.33K
06/24/2016,"1,322.40","1,254.30",574.24K
06/23/2016,"1,263.10","1,268.10",152.59K
06/22/2016,"1,270.00","1,271.40",132.68K
06/21/2016,"1,272.50","1,292.50",207.16K
06/20/2016,"1,292.10","1,293.00",193.80K
06/17/2016,"1,294.80","1,282.40",211.62K
06/16/2016,"1,298.40","1,295.00",354.15K
06/15/2016,"1,288.30","1,288.10",199.45K
06/14/2016,"1,288.10","1,286.20",193.07K
06/13/2016,"1,286.90","1,278.30",202.81K
06/10/2016,"1,275.90","1,271.50",160.81K
06/09/2016,"1,272.70","1,264.60",153.26K
06/08/2016,"1,262.30","1,247.00",181.73K
06/07/2016,"1,247.00","1,248.00",120.51K
06/06/2016,"1,247.40","1,245.50",162.94K
06/03/2016,"1,242.90","1,212.80",240.70K
06/02/2016,"1,212.60","1,215.90",112.60K
06/01/2016,"1,214.70","1,217.90",159.62K
05/31/2016,"1,217.50","1,215.10",236.15K
05/30/2016,"1,217.50","1,215.10",236.15K
05/27/2016,"1,216.70","1,222.30",200.00K
05/26/2016,"1,221.50","1,222.00",2.96K
05/25/2016,"1,225.20","1,228.60",1.51K
05/24/2016,"1,230.70","1,250.80",1.31K
05/23/2016,"1,253.20","1,252.90",0.66K
05/20/2016,"1,254.40","1,258.50",0.94K
05/19/2016,"1,256.10","1,261.50",1.53K
05/18/2016,"1,275.70","1,282.90",0.50K
05/17/2016,"1,278.20","1,276.80",0.28K
05/16/2016,"1,275.40","1,275.20",0.22K
05/13/2016,"1,273.80","1,267.40",0.31K
05/12/2016,"1,272.30","1,278.40",0.20K
05/11/2016,"1,276.80","1,269.30",0.36K
05/10/2016,"1,266.00","1,267.10",0.08K
05/09/2016,"1,267.80","1,288.40",0.22K
05/06/2016,"1,295.10","1,280.70",0.23K
05/05/2016,"1,273.50","1,284.40",0.19K
05/04/2016,"1,275.60","1,289.60",0.11K
05/03/2016,"1,292.90","1,298.40",0.15K
05/02/2016,"1,296.90","1,294.10",0.04K
04/29/2016,"1,291.50","1,278.20",0.03K
04/28/2016,"1,267.30","1,267.30",227.21K
04/27/2016,"1,250.40","1,245.70",171.51K
04/26/2016,"1,243.40","1,239.80",148.11K
04/25/2016,"1,240.20","1,234.50",120.77K
04/22/2016,"1,230.00","1,248.50",209.49K
04/21/2016,"1,250.30","1,244.50",272.94K
04/20/2016,"1,254.40","1,251.30",165.25K
04/19/2016,"1,254.30","1,233.90",217.39K
04/18/2016,"1,235.00","1,236.30",148.66K
04/15/2016,"1,234.60","1,228.50",121.27K
04/14/2016,"1,226.50","1,243.80",204.79K
04/13/2016,"1,248.30","1,257.20",155.99K
04/12/2016,"1,260.90","1,259.80",157.24K
04/11/2016,"1,258.00","1,241.80",160.93K
04/08/2016,"1,243.80","1,241.80",132.37K
04/07/2016,"1,237.50","1,224.00",189.41K
04/06/2016,"1,223.80","1,232.60",135.33K
04/05/2016,"1,229.60","1,217.10",157.09K
04/04/2016,"1,219.30","1,223.00",91.06K
04/01/2016,"1,223.50","1,234.10",196.90K
03/31/2016,"1,235.60","1,227.00",120.32K
03/30/2016,"1,228.60","1,243.00",183.33K
03/29/2016,"1,236.40","1,221.80",4.37K
03/28/2016,"1,220.80","1,216.50",1.62K
03/24/2016,"1,222.20","1,221.60",1.67K
03/23/2016,"1,224.60","1,249.10",2.16K
03/22/2016,"1,249.20","1,244.60",1.06K
03/21/2016,"1,244.80","1,256.50",0.46K
03/18/2016,"1,254.80","1,258.60",0.20K
03/17/2016,"1,265.50","1,261.10",0.22K
03/16/2016,"1,230.30","1,234.00",0.21K
03/15/2016,"1,231.50","1,236.10",0.20K
03/14/2016,"1,245.60","1,251.00",0.23K
03/11/2016,"1,259.90","1,271.10",0.20K
03/10/2016,"1,273.30","1,250.60",0.25K
03/09/2016,"1,257.90","1,262.60",0.38K
03/08/2016,"1,263.40","1,269.50",0.07K
03/07/2016,"1,264.50","1,267.20",0.04K
03/04/2016,"1,271.10","1,265.00",0.11K
03/03/2016,"1,258.60","1,243.80",0.04K
03/02/2016,"1,242.10","1,227.80",0.04K
03/01/2016,"1,231.10","1,245.30",0.04K
02/29/2016,"1,234.70","1,220.20",0.05K
02/26/2016,"1,220.70","1,220.70",218.71K
02/25/2016,"1,238.80","1,228.90",208.22K
02/24/2016,"1,239.10","1,226.00",274.24K
02/23/2016,"1,222.60","1,208.90",184.48K
02/22/2016,"1,210.10","1,226.90",160.97K
02/19/2016,"1,230.80","1,231.20",184.25K
02/18/2016,"1,226.30","1,209.50",182.12K
02/17/2016,"1,211.40","1,201.90",162.45K
02/16/2016,"1,208.20","1,236.30",340.80K
02/15/2016,"1,208.20","1,236.30",340.80K
02/12/2016,"1,239.40","1,247.10",191.13K
02/11/2016,"1,247.80","1,197.50",365.65K
02/10/2016,"1,194.60","1,189.70",168.64K
02/09/2016,"1,198.60","1,189.50",190.80K
02/08/2016,"1,197.90","1,174.00",249.46K
02/05/2016,"1,157.70","1,155.70",214.89K
02/04/2016,"1,157.50","1,142.50",177.21K
02/03/2016,"1,141.30","1,129.40",189.23K
02/02/2016,"1,127.20","1,128.50",117.73K
02/01/2016,"1,128.00","1,118.00",118.52K
01/29/2016,"1,116.40","1,114.80",133.25K
01/28/2016,"1,116.10","1,126.20",151.22K
01/27/2016,"1,116.00","1,119.80",0.98K
01/26/2016,"1,120.30","1,109.00",0.79K
01/25/2016,"1,105.50","1,098.00",0.55K
01/22/2016,"1,096.00","1,101.10",0.62K
01/21/2016,"1,097.70","1,101.70",0.65K
01/20/2016,"1,105.70","1,087.50",0.87K
01/19/2016,"1,089.00","1,089.70",0.25K
01/18/2016,"1,089.10","1,089.30",160.11K
01/15/2016,"1,090.70","1,077.20",0.39K
01/14/2016,"1,073.60","1,093.50",0.33K
01/13/2016,"1,087.20","1,087.30",0.09K
01/12/2016,"1,085.30","1,094.00",0.21K
01/11/2016,"1,096.30","1,106.00",0.16K
01/08/2016,"1,098.10","1,108.70",0.31K
01/07/2016,"1,108.10","1,092.70",0.27K
01/06/2016,"1,092.20","1,077.40",0.14K
01/05/2016,"1,078.70","1,076.60",0.09K
01/04/2016,"1,075.50","1,062.50",0.10K
12/31/2015,"1,060.50","1,062.30",0.04K
12/30/2015,"1,060.10","1,060.10",98.71K
12/29/2015,"1,068.00","1,068.30",87.64K
12/28/2015,"1,068.30","1,075.20",70.86K
12/24/2015,"1,075.90","1,069.60",49.69K
12/23/2015,"1,068.30","1,072.00",69.36K
12/22/2015,"1,074.10","1,078.00",80.66K
12/21/2015,"1,080.60","1,065.20",122.22K
12/18/2015,"1,065.00","1,051.50",122.22K
12/17/2015,"1,049.60","1,072.20",168.67K
12/16/2015,"1,076.80","1,060.30",143.15K
12/15/2015,"1,061.60","1,059.80",115.32K
12/14/2015,"1,063.40","1,073.00",121.86K
12/11/2015,"1,075.70","1,071.40",152.62K
12/10/2015,"1,072.00","1,071.70",99.73K
12/09/2015,"1,076.50","1,074.30",140.71K
12/08/2015,"1,075.30","1,069.70",128.22K
12/07/2015,"1,075.20","1,085.50",109.37K
12/04/2015,"1,084.10","1,062.00",208.90K
